# This file contains terms and their lemma forms as determined by the POS
# tagger TreeTagger. DIAsDEM Workbench 2.1 can only process single-token
# terms (e.g., 'ist') which do not contain blank spaces. Terms are not
# looked up case-sensitively. Hence, both terms 'ist' and 'IST' will be
# mapped onto the grammatical root 'sein'. Each line contains exactly one
# term and its lemma form separated by exactly one tab stop. This file was
# created by the DIAsDEM task Actions -> Prepare Data Set -> Lemmatize
# Text Units using the advanced option 'Create New Known Lemma Forms File'.
Hörfunk	Hörfunk
Woldenberg	Woldenberg
Entwicklung	Entwicklung
Gastronomischen	gastronomisch
Geschäftsführer	Geschäftsführer
Lerm	Lerm
AKAT	AKAT
Klausdieter	Klausdieter
BILF	BILF
Ägypten	Ägypten
mobil	mobil
Abdichtungsarbeiten	Abdichtungsarbeiten
Uptrup	Uptrup
bei	bei
Renovierung	Renovierung
Jurk	Jurk
sortimentsgerechte	sortimentsgerechte
Bewertung	Bewertung
Besetzung	Besetzung
Wohnobjekten	Wohnobjekt
Hübel	Hübel
Agrargenossenschaft	Agrargenossenschaft
Baufertigteilen	Baufertigteilen
Einbauküchen	Einbauküche
Saunaanlagen	Saunaanlagen
Fedor	Fedor
mechanischer	mechanisch
Mosaik	Mosaik
Beschaffenheit	Beschaffenheit
Cramer	Cramer
Krummensee	Krummensee
Janik	Janik
nachstationärer	nachstationärer
Alarmanlagen	Alarmanlage
Schädlingsbekämpfung	Schädlingsbekämpfung
so	so
Versicherten	Versicherte
bearbeitetem	bearbeitet
öffentlichkeitswirksame	öffentlichkeitswirksam
komplexer	komplex
psychotherapeutischen	psychotherapeutisch
Mediensysteme	Mediensystem
Flurstücke	Flurstücke
Anlage	Anlage
Heizkostenverteilern	Heizkostenverteilern
Deneyen	Deneyen
Methodik	Methodik
Kaula	Kaula
online	online
Florijn	Florijn
Kunzendorf	Kunzendorf
Bauaufträgen	Bauauftrag
Franzen	Franzen
Geschäftsbesorgungen	Geschäftsbesorgungen
Marco	Marco
Unternehmensneugründungen	Unternehmensneugründung
Mühmel	Mühmel
Rahmel	Rahmel
Auftragsentwicklung	Auftragsentwicklung
akustischen	akustisch
Loroch	Loroch
Kunert	Kunert
Europe	Europe
GIAS	GIAS
einlagen	Einlage
Ergebnisabführungsvertrag	Ergebnisabführungsvertrag
Schmuck	Schmuck
Maschinen	Maschine
Profinanz	Profinanz
Wissenschaft	Wissenschaft
käuflicher	käuflich
Arabische	Arabische
Gruppen	Gruppe
Scharnowski	Scharnowski
Kinderheimes	Kinderheim
erhöhen	erhöhen
Materialien	Material
Gaertner	Gaertner
Outlet	Outlet
Bauhandwerkerleistungen	Bauhandwerkerleistungen
einziger	einzig
ehemaligen	ehemalig
Industriebereich	Industriebereich
Coaching	Coaching
Einrichtungen	Einrichtung
Zeitabständen	Zeitabstand
Schwarz	Schwarz
Umsiedlungsmaßnahmen	Umsiedlungsmaßnahme
Sende	senden
Reinicke	Reinicke
ausführen	ausführen
Dallgow	Dallgow
Verrichtung	Verrichtung
Potsdsam	Potsdsam
weshalb	weshalb
Elektrogeräten	Elektrogerät
Kay	Kay
Gudrun	Gudrun
Telefon	Telefon
Martina	Martina
Dritter	Dritte
genormter	genormt
Wulf	Wulf
Vello	Vello
gehören	gehören
Personen	Person
mehrerer	mehrerer
Büroservices	Büroservices
gepachtetem	gepachtet
Stammeinlage	Stammeinlage
Menschen	Mensch
Gerüstbau	Gerüstbau
Ferienhäusern	Ferienhaus
Süchting	Süchting
Petra	Petra
genutzten	genutzt
Scheibe	Scheibe
Sanitäreinrichtungen	Sanitäreinrichtung
Ladenausstattungen	Ladenausstattungen
Gründung	Gründung
DHS	DHS
Schwenke	schwenken
Karla	Karla
Gesetz	Gesetz
Minute	Minute
Arndt	Arndt
West	West
Paukstadt	Paukstadt
Altbauten	Altbau
Demper	Demper
Kickuth	Kickuth
Brandenburgische	Brandenburgische
Altbausektor	Altbausektor
Kolzenburg	Kolzenburg
Hoppe	Hoppe
Umwelt	Umwelt
Prüfungsbericht	Prüfungsbericht
Gesamtkonzeptionen	Gesamtkonzeption
Jasmin	Jasmin
Produktionsleitung	Produktionsleitung
audiovisuellen	audiovisuell
Präsentationen	Präsentation
wiederum	wiederum
Freizeit	Freizeit
Ozonanlagen	Ozonanlagen
Petrotschenko	Petrotschenko
Kreditbank	Kreditbank
Beratungsgesellschaft	Beratungsgesellschaft
Gala	Gala
Zirndorf	Zirndorf
Lindemann	Lindemann
Tischlereihandwerk	Tischlereihandwerk
Dollenberg	Dollenberg
Vertrag	Vertrag
Führt	führen
Comesana	Comesana
Staaten	Staat
Vergabe	Vergabe
Instrumenten	Instrument
Baumeister	Baumeister
Eigen	Eigen
Bewerbern	Bewerber
Treibstoff	Treibstoff
Tennis	Tennis
Röllig	Röllig
Verputz	Verputz
Kirscht	Kirscht
Vermögenswerten	Vermögenswerten
PanMedium	PanMedium
Steven	Steven
Bückchen	Bückchen
Schulungen	Schulung
Bausparkassenverträgen	Bausparkassenverträgen
Verbindlichkeiten	Verbindlichkeit
Centurio	Centurio
Publizierens	Publizieren
Strosny	Strosny
REB	REB
Städtebau	Städtebau
Solaranlagen	Solaranlage
Bilanz	Bilanz
Erdgas	Erdgas
Sammt	Sammt
Nüsse	Nuß
angemeldet	anmelden
Prister	Prister
DENALI	DENALI
Mark	Mark
Controlling	Controlling
Wohngebäude	Wohngebäude
Reckling	Reckling
andere	ander
folgender	folgend
Rünthe	Rünthe
Trockenausbau	Trockenausbau
Heizung	Heizung
Kreditwesen	Kreditwesen
Büttner	Büttner
industrielle	industriell
Hinz	Hinz
beide	beide
Baustelleneinrichtung	Baustelleneinrichtung
Sicherheitsfragen	Sicherheitsfragen
Verlust	Verlust
unabhängige	unabhängig
Schlosserarbeiten	Schlosserarbeiten
Roswitha	Roswitha
Carmen	Carmen
Berend	Berend
Prieser	Prieser
Sonderrechtsnachfolge	Sonderrechtsnachfolge
betreffend	betreffend
kranke	krank
Hellmann	Hellmann
Estricharbeiten	Estricharbeiten
Abfragesystemen	Abfragesystemen
Verrechnungsdienstleistungen	Verrechnungsdienstleistungen
Arthur	Arthur
Softwarebetreuung	Softwarebetreuung
mehrer	mehrer
Karcher	Karcher
Dengler	Dengler
Heinig	Heinig
vorstehende	vorstehend
Ortwein	Ortwein
Bebauung	Bebauung
Hilfe	Hilfe
Haven	Haven
Gummierzeugnissen	Gummierzeugnissen
Geschäftsfsührungs	Geschäftsfsührungs
Echterdingen	Echterdingen
Erdarbeiten	Erdarbeiten
Tappert	Tappert
Warenverkehr	Warenverkehr
Sitzverlegung	Sitzverlegung
OHG	OHG
Jäckel	Jäckel
Gebrauchtfahrzeugen	Gebrauchtfahrzeugen
Bauelementen	Bauelement
Urstromtal	Urstromtal
Nikolaus	Nikolaus
Standardprodukten	Standardprodukt
Lagerei	Lagerei
Bedrucken	Bedrucken
Einkaufszentrum	Einkaufszentrum
Festzeltverleih	Festzeltverleih
Laske	Laske
Fertigschriften	Fertigschriften
Gesellschaftszweck	Gesellschaftszweck
mittelständischen	mittelständisch
i.S.d.	i.S.d.
Kücheneinrichtungen	Kücheneinrichtung
Etna	Etna
Medizintechnik	Medizintechnik
konsekutiven	konsekutiven
Drahtverarbeitung	Drahtverarbeitung
Hosting	Hosting
Heß	Heß
Aufbau	Aufbau
Aufstellen	Aufstellen
Junges	Junge
beruhenden	beruhend
Lärmschutzeinrichtungen	Lärmschutzeinrichtung
Abfallwirtschaftsbetrieb	Abfallwirtschaftsbetrieb
Network	Network
Imbissen	Imbiß
Landschaftsbaues	Landschaftsbaues
geschaffenen	geschafft
Kühnappel	Kühnappel
Auslandes	Ausland
Göbel	Göbel
Synthese	Synthese
flexografische	flexografische
Servicedienste	Servicedienst
höchstens	höchstens
Bertus	Bertus
Tauchsportartikeln	Tauchsportartikeln
Begutachtung	Begutachtung
HAUS	hausen
Windparks	Windpark
Möbeldienstleistungen	Möbeldienstleistungen
Dramaturgie	Dramaturgie
Schienen	Schiene
Landwehrmann	Landwehrmann
Schlossereiarbeiten	Schlossereiarbeiten
kaufen	kaufen
Bauten	Bau
Schuttberäumung	Schuttberäumung
Betana	Betana
Bauaufzügen	Bauaufzügen
